stop_id,stop_name,stop_lat,stop_lon
1_4465,АТП,50.445281982421875,30.640277862548828
1_4468,АТП,50.444942474365234,30.640291213989258
1_4208,вул. Дегтярівська,50.45891571044922,30.485048294067383
1_4221,вул. Дегтярівська,50.460975646972656,30.482961654663086
1_2879,вул. Йорданська,50.49925231933594,30.504230499267578
1_2882,вул. Йорданська,50.499046325683594,30.504531860351562
1_343,вул. Йорданська,50.49874496459961,30.504817962646484
1_350,вул. Йорданська,50.49880599975586,30.504188537597656
1_266,вул. Коперника,50.46015167236328,30.48478126525879
1_269,вул. Коперника,50.460018157958984,30.48457145690918
1_281,вул. Коперника,50.45985412597656,30.484256744384766
1_292,вул. Коперника,50.459815979003906,30.48394203186035
1_318,вул. Міська,50.52618408203125,30.367216110229492
1_3186,вул. Міська,50.52629470825195,30.366901397705078
1_3187,вул. Міська,50.52600860595703,30.368152618408203
1_327,вул. Міська,50.52647018432617,30.366968154907227
1_447,вул. П. Усенка,50.44627380371094,30.63153648376465
1_450,вул. П. Усенка,50.44635009765625,30.631425857543945
1_471,вул. П. Усенка,50.44627380371094,30.63153648376465
1_474,вул. П. Усенка,50.44635009765625,30.631425857543945
1_2880,вул. Скляренка,50.49787139892578,30.462308883666992
1_2881,вул. Скляренка,50.497962951660156,30.4626522064209
1_302,вул. Скляренка,50.498374938964844,30.46239471435547
1_303,вул. Скляренка,50.49811553955078,30.462526321411133
1_320,вул. Скляренка,50.4979248046875,30.462343215942383
1_325,вул. Скляренка,50.49799728393555,30.46240997314453
1_331,вул. Скляренка,50.49753952026367,30.46246337890625
1_336,вул. Скляренка,50.497108459472656,30.462167739868164
1_344,вул. Скляренка,50.497596740722656,30.462295532226562
1_349,вул. Скляренка,50.497745513916016,30.46251678466797
1_267,вул. Старовокзальна,50.443763732910156,30.489168167114258
1_268,вул. Старовокзальна,50.44350814819336,30.48897361755371
1_293,вул. Старовокзальна,50.444000244140625,30.48857307434082
