name,geometry
Академіка Шалімова,"LINESTRING (30.4199503 50.4382218, 30.4207334 50.4384186)"
Івана Дзюби,"LINESTRING (30.399907 50.4330986, 30.3991079 50.4328845)"
Вацлава Гавела,"LINESTRING (30.4111278 50.4360545, 30.4102552 50.4358345)"
Академіка Шалімова,"LINESTRING (30.4198844 50.4383158, 30.4206715 50.4385078)"
Івана Дзюби,"LINESTRING (30.3998564 50.4331745, 30.3990604 50.4329752)"
Національний авіаційний університет,"LINESTRING (30.4313436 50.4411673, 30.4304392 50.4409335)"
Національний авіаційний університет,"LINESTRING (30.4312828 50.4412679, 30.4303842 50.4410333)"
Індустріальна,"LINESTRING (30.442675 50.4441412, 30.4418665 50.4439338)"
Олекси Тихого,"LINESTRING (30.4556569 50.4462883, 30.4548115 50.4463839)"
Індустріальна,"LINESTRING (30.4427116 50.4440287, 30.4418789 50.4438153)"
Олекси Тихого,"LINESTRING (30.4556874 50.4463918, 30.4548401 50.4464907)"
Політехнічна,"LINESTRING (30.4667932 50.4464607, 30.4676355 50.4466219)"
Політехнічна,"LINESTRING (30.4668388 50.4463529, 30.4676804 50.446523)"
вулиця Василя Доманицького,"LINESTRING (30.3848947 50.4264916, 30.3846519 50.4259355)"
вулиця Василя Доманицького,"LINESTRING (30.3847984 50.4259172, 30.3850371 50.4264657)"
Бульвар Миколи Руденка,"LINESTRING (30.3825845 50.4199817, 30.3820954 50.4202784)"
Бульвар Миколи Руденка,"LINESTRING (30.3826978 50.4200403, 30.3821792 50.4203384)"
вулиця Зодчих,"LINESTRING (30.3888006 50.417078, 30.3897762 50.4166895)"
вулиця Зодчих,"LINESTRING (30.3888692 50.4171478, 30.3898427 50.4167666)"
Михайлівська Борщагівка,"LINESTRING (30.4070944 50.407754, 30.4076612 50.4077938)"
вулиця Вахтанга Кікабідзе,"LINESTRING (30.3993697 50.4096898, 30.400128 50.4092966)"
Площа Галицька,"LINESTRING (30.4879045 50.4462884, 30.4887664 50.446297)"
вулиця Вахтанга Кікабідзе,"LINESTRING (30.3992634 50.4096224, 30.4000352 50.4092267)"
Михайлівська Борщагівка,"LINESTRING (30.4070212 50.4073884, 30.4074768 50.4072947)"
Старовокзальна,"LINESTRING (30.4891369 50.4436491, 30.4896544 50.4438646)"
вулиця Олександра Махова,"LINESTRING (30.3957362 50.4132855, 30.3954779 50.4138115)"
Площа Галицька,"LINESTRING (30.4879034 50.4461816, 30.4887741 50.4461937)"
вулиця Олександра Махова,"LINESTRING (30.3953415 50.4137897, 30.3955939 50.4132597)"
Старовокзальна,"LINESTRING (30.4898636 50.4440643, 30.4903577 50.4442426)"
Райдужний,"POLYGON ((30.5733404 50.4833935, 30.5733251 50.4833647, 30.5734061 50.4833479, 30.5734659 50.4833356, 30.5736292 50.4833017, 30.5736696 50.4832921, 30.5738538 50.4832499, 30.5738773 50.4832449, 30.5739765 50.4832237, 30.5739926 50.4832506, 30.5733404 50.4833935))"
Проспект Академіка Корольова,"LINESTRING (30.4105464 50.4122217, 30.410438 50.4122945, 30.4102893 50.4123925)"
