route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3_65,31725604,30,Вулиця Академіка Єфремова - санаторій «Лісова поляна»,Автобус розпочинає рух з Центру реабілітації ветеранів «Лісова поляна» та прибуває до вул. Академіка Єфремова (Дитяча поліклініка). Тривалість маршруту  47 хв. Частота відправлення автобусів 27-40 хв.,3,https://kpt.kyiv.ua/schedule/bus/30,,
3_655,31725604,40,,Автобус розпочинає рух з селлища ДВС та прибуває до ст.м. «Героїв Дніпра». Тривалість маршруту 25 хв. Частота відправлення автобусів 30-60 хв.,3,https://kpt.kyiv.ua/schedule/bus/40,,
3_656,31725604,120,,"Автобус розпочинає рух від зупинки «Кібернетичний центр», рухається поруч ст.м. «Теремки» до ст.м. «Васильківська». Тривалість маршруту 28 хв. Частота відправлення автобусів 20-27хв.",3,https://kpt.kyiv.ua/schedule/bus/120,,
3_663,31725604,112,,"Автобус розпочинає рух із вул. Івана Микитенка , рухається поруч із залізничною  платформою «Райдужний» та ст.м. Контрактова площа до Лук'янівської площі. Тривалість маршруту 54 хв. Частота відправлення автобусів 22-28хв.",3,https://kpt.kyiv.ua/schedule/bus/112,,
3_67,31725604,31,Вулиця Татарська - Станція метро «Політехнічний інститут»,"Автобус розпочинає рух із вул. Татарської, рухається поруч із ст. м. «Лукянівська» та прибуває до ст.м. «Політехнічний інститут». Тривалість маршруту 28 хв. Частота відправлення автобусів 30хв.",3,https://kpt.kyiv.ua/schedule/bus/31,,
3_68,31725604,32,Мінський проспект - Станція метро «Нивки»,Автобус розпочинає рух із просп. Литовського (Мінського масиву)та  прибуває до ст.м. «Нивки». Тривалість  маршруту 53 хв. Частота відправлення автобусів 26-35 хв.,3,https://kpt.kyiv.ua/schedule/bus/32,,
3_69,31725604,33,Станція метро «Лісова»  -  Лісовий масив,Автобус розпочинає рух із ж/м Лісовий та прибуває до ст.м. «Лісова». Тривалість маршруту 22 хв. Частота відправлення автобусів 25-50 хв.,3,https://kpt.kyiv.ua/schedule/bus/33,,
3_71,31725604,35,Вулиця Підлипка - Вулиця Урлівська,"Автобус розпочинає рух із вул. Підлипка, рухається поруч із ст.м. «Славутич» до вул. Гліба Бабича. Тривалість маршруту 33 хв. частота відправлення автобусів 23-35 хв.",3,https://kpt.kyiv.ua/schedule/bus/35,,
3_719,31725604,37Д,,,3,,,
3_72,31725604,36,"вул. Сирецька - Станція метро ""Дорогожичі""",Автобус розпочинає рух з вул. Сирецької  та прибуває до ст.м. «Дорогожичі». Тривалість маршруту  13 хв. Частота відправлення автобусів 30-35хв.,3,https://kpt.kyiv.ua/schedule/bus/36,,
3_73,31725604,37,Станція метро «Святошин» - Житловий  масив «Західний»,Автобус розпочинає рух із ст.м. «Святошин» та прибуває до житлового масиву Західний». Тривалість маршруту 30 хв. Частота відправлення автобусів 13-33хв.,3,https://kpt.kyiv.ua/schedule/bus/37,,
3_742,31725604,22тк,,,3,,,
3_743,31725604,118д,,,3,,,
3_744,31725604,70Д,,,3,,,
3_75,31725604,37а,Станція метро «Святошин» - Спортивний комплекс «Чайка»,Автобус розпочинає рух із ст.м. «Святошин» та прибуває  до спортивного комплексу  «Чайка». Тривалість маршруту 25 хв. Частота відправлення  автобусів 20-30 хв.,3,https://kpt.kyiv.ua/schedule/bus/37%D0%B0,,
3_77,31725604,38,,"Автобус розпочинає рух з вул. Метрологічна,  рухається поруч із ст.м. «Іподром», ст.м. «Виставковий центр», ст.м. «Васильківська», ст.м. «Голосіївська» та прибуває до ст.м. «Деміївська». Тривалість маршруту  40 хв. Частота відправлення 14-27 хв.",3,https://kpt.kyiv.ua/schedule/bus/38,,
