name,geometry
бульвар Вацлава Гавела,POINT (30.4200957 50.4470658)
Миколи Василенка,POINT (30.4200598 50.4472198)
проспект Любомира Гузара,POINT (30.4110761 50.4358209)
проспект Любомира Гузара,POINT (30.4111218 50.4358324)
проспект Відрадний,POINT (30.4264906 50.4236476)
проспект Відрадний,POINT (30.4263249 50.4237131)
ст. м. Берестейська,POINT (30.420049 50.4582538)
6-й авторемонтний завод,POINT (30.410303 50.4439271)
6-й авторемонтний завод,POINT (30.4106404 50.4440631)
Вул. Січових Стрільців,POINT (30.4854192 50.4603839)
Вул. Січових Стрільців,POINT (30.4853005 50.4603661)
Житній ринок,POINT (30.5093027 50.4643008)
Житній ринок,POINT (30.5100951 50.4648729)
Контрактова площа,POINT (30.5162503 50.465011)
Вул. Коперника,POINT (30.483411 50.4605485)
Кудрявський узвіз,POINT (30.4967447 50.4620614)
Кудрявський узвіз,POINT (30.4956612 50.4622639)
вул. Вознесенський Яр,POINT (30.4996656 50.4621782)
Вознесенський узвіз,POINT (30.5063289 50.4628223)
Вознесенський узвіз,POINT (30.5060424 50.4629649)
Сквер Гейдара Алієва,POINT (30.4906488 50.4624045)
Вул. Соляна,POINT (30.4916369 50.4624805)
вул. Вознесенський Яр,POINT (30.5013956 50.4622933)
Вікентія Хвойки,POINT (30.4796928 50.4801999)
Вікентія Хвойки,POINT (30.4784608 50.4812031)
Вулиця Міська,POINT (30.3665054 50.52673)
Госпіталь інвалідів Великої Вітчизняної війни,POINT (30.3585884 50.5326769)
Госпіталь інвалідів Великої Вітчизняної війни,POINT (30.3583465 50.5328034)
Дитячий санаторій,POINT (30.4347799 50.52881)
Дитячий санаторій,POINT (30.4349814 50.5288257)
Вулиця Дубровицька,POINT (30.4562312 50.5123132)
вул. Оленівська,POINT (30.5020932 50.470891)
Вулиця Заводська,POINT (30.4953702 50.4734502)
Вулиця Заводська,POINT (30.4940634 50.4739261)
Інститут ім. Бакуля,POINT (30.4612396 50.4996882)
Інститут ім. Бакуля,POINT (30.4607629 50.500089)
Каланча,POINT (30.4193134 50.529459)
Куренівський парк,POINT (30.4707762 50.4873796)
