name,geometry
Державний університет телекомунікацій,POINT (30.4759164 50.4271043)
Вул. Мстислава Скрипника,POINT (30.4846907 50.4339546)
станція метро Нивки,POINT (30.4056015 50.459369)
станція метро Нивки,POINT (30.4059987 50.4599823)
Вул. Раїси Окіпної,POINT (30.5939102 50.448994)
ст. м. Лівобережна,POINT (30.5989855 50.4496705)
Парк «Позняки»,POINT (30.6351527 50.4024141)
Станція метро «Дорогожичі»,POINT (30.4467525 50.4736887)
Станція метро «Дорогожичі»,POINT (30.4486002 50.4742446)
Станція метро «Дорогожичі»,POINT (30.4493364 50.4730838)
"Залізничний вокзал ""Південний""",POINT (30.4859305 50.438998)
Цементний завод,POINT (30.5523237 50.3811538)
Вул. Китаївська,POINT (30.5451311 50.3726002)
Вул. Юлії Здановської,POINT (30.4833378 50.3903947)
Кінотеатр Загреб,POINT (30.4901425 50.3862509)
Овочева база,POINT (30.5558155 50.362715)
Будкомбінат,POINT (30.5584356 50.3610867)
Торговий центр,POINT (30.391574 50.4090653)
"Ст. м. ""Видубичі""",POINT (30.5620325 50.400994)
"Станція метро ""Видубичі""",POINT (30.5613121 50.4016863)
вул. Героїв полку Азов,POINT (30.4898431 50.5061084)
Вул. Л. Руденко,POINT (30.6432425 50.3995744)
Вул. Л. Руденко,POINT (30.6425195 50.3998621)
вул. Івана Драча,POINT (30.4981989 50.4563407)
ш. Стратегічне,POINT (30.5290962 50.4003071)
Вул. Івана Миколайчука,POINT (30.6014097 50.4332941)
Вул. А. Бучми,POINT (30.6062203 50.4303518)
Церква,POINT (30.6058124 50.4297929)
м/н Березняки,POINT (30.604992 50.4353802)
м/н Березняки,POINT (30.6057292 50.4360643)
Ринок «Березняки»,POINT (30.602927 50.4331547)
Міст Патона,POINT (30.5645941 50.423989)
Водоканал,POINT (30.550512 50.4280874)
Редутний провулок,POINT (30.5561133 50.4263738)
вул. Старонаводницька,POINT (30.5591418 50.4260109)
пл. Наводницька,POINT (30.5591924 50.424184)
вул. Старонаводницька,POINT (30.5421803 50.4293871)
