Тролейбус №34;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Північна - Станція метро «Почайна»
№ випуску;Вулиця Північна;Станція метро «Мінська»;Вулиця Йорданська;Залізнична станція «Куренівка»;Станція метро «Почайна»
1;06:20;06:30;06:41;06:49;06:53
2;06:55;07:05;07:18;07:27;07:31
1;07:35;07:45;07:58;08:07;08:11
2;08:20;08:30;08:43;08:52;08:56
1;09:10;09:20;09:33;09:42;09:46
2;10:10;10:20;10:33;10:42;10:46
1;11:05;11:15;11:28;11:37;11:41
2;11:45;11:55;12:08;12:17;12:21
1;12:27;12:37;12:50;12:59;13:03
2;13:05;13:15;13:28;13:37;13:41
1;13:48;13:58;14:11;14:20;14:24
2;14:25;14:35;14:48;14:57;15:01
1;15:10;15:20;15:33;15:42;15:46
2;15:50;16:00;16:13;16:22;16:26
1;16:50;17:00;17:13;17:22;17:26
2;17:40;17:50;18:03;18:12;18:16
1;18:35;18:45;18:56;19:04;19:08
2;19:15;19:25;19:38;19:47;19:51
1;19:50;20:00;20:11;20:19;20:23
2;20:35;20:45;20:56;21:04;21:08
1;21:05;21:15;21:28;21:36;21:40
2;21:50;22:00;—;—;—
1;22:24;22:34;—;—;—
Станція метро «Почайна» - Вулиця Північна
№ випуску;Станція метро «Почайна»;Вулиця Приозерна;Станція метро «Мінська»;Вулиця Північна
1;—;—;06:04;06:17
2;—;—;06:39;06:52
1;06:56;07:06;07:19;07:32
2;07:34;07:44;07:58;08:12
1;08:14;08:24;08:38;08:52
2;08:59;09:09;09:23;09:37
1;09:49;09:59;10:13;10:27
2;10:49;10:59;11:13;11:27
1;11:44;11:54;12:08;12:22
2;12:24;12:34;12:48;13:02
1;13:06;13:16;13:30;13:44
2;13:44;13:54;14:08;14:22
1;14:27;14:37;14:51;15:05
2;15:04;15:14;15:28;15:42
1;15:49;15:59;16:13;16:27
2;16:29;16:39;16:53;17:07
1;17:29;17:39;17:53;18:07
2;18:19;18:29;18:43;18:57
1;19:11;19:21;19:33;19:47
2;19:55;20:05;20:18;20:31
1;20:26;20:36;20:49;21:02
2;21:11;21:21;21:34;21:47
1;21:45;21:55;22:08;22:21
