Тролейбус №6;Четвер 28 травня 2026. Діє з 01.01.2026.
Мінський масив - Майдан Незалежності
№ випуску;Мінський масив;Вулиця Сошенка;Вулиця Сошенка;Куренівський парк;Станція метро «Лук’янівська»;Майдан Незалежності
4;—;—;—;—;05:58;06:13
1;06:00;06:09;06:11;06:27;06:43;06:58
2;06:25;06:34;06:36;06:52;07:08;07:23
3;06:45;06:54;06:58;07:14;07:32;07:48
4;07:07;07:16;07:18;07:35;07:53;08:09
5;07:27;07:37;07:39;07:56;08:14;08:30
1;07:52;08:01;08:03;08:20;08:38;08:54
2;08:22;08:31;08:33;08:50;09:08;09:24
3;09:01;09:10;09:12;09:29;09:47;10:03
4;09:07;10:06;10:07;—;—;—
5;09:42;09:51;09:52;10:09;10:27;10:43
1;09:52;10:46;10:47;—;—;—
4;10:16;10:25;10:26;10:43;11:01;11:17
2;10:23;11:26;11:27;—;—;—
1;10:56;11:05;11:07;11:24;11:42;11:58
2;11:37;11:46;11:48;12:05;12:23;12:39
4;12:15;12:25;12:28;12:45;13:03;13:19
1;12:57;13:07;13:10;13:27;13:45;14:01
2;13:38;13:48;13:50;14:07;14:25;14:41
4;14:18;14:28;14:30;14:47;15:05;15:21
1;14:59;15:09;15:12;15:29;15:47;16:03
2;15:40;15:49;15:51;16:08;16:26;16:42
4;16:20;16:30;16:33;16:50;17:08;17:24
5;16:54;17:04;17:06;17:23;17:41;17:57
1;17:02;17:56;17:57;—;—;—
3;17:28;17:38;17:40;17:57;18:15;18:31
2;17:41;18:35;18:36;—;—;—
1;18:07;18:16;18:18;18:35;18:52;19:08
4;18:23;19:17;19:18;—;—;—
2;18:46;18:56;18:58;19:15;19:33;19:49
4;19:27;19:36;19:38;19:55;20:12;20:27
1;20:06;20:15;20:17;20:33;20:49;21:04
2;20:45;20:54;20:58;21:14;21:30;21:45
4;21:21;21:30;21:32;21:48;22:04;22:19
Майдан Незалежності - Мінський масив
№ випуску;Майдан Незалежності;Станція метро «Лук’янівська»;Куренівський парк;Площа Шевченка;Мінський масив
1;—;—;05:38;05:52;05:59
2;—;—;06:02;06:16;06:23
3;—;—;06:23;06:37;06:44
4;06:15;06:29;06:45;06:59;07:06
5;—;—;07:04;07:19;07:26
1;07:00;07:14;07:30;07:44;07:51
2;07:25;07:41;07:59;08:14;08:21
3;07:50;08:06;08:24;08:39;08:46
4;08:11;08:27;08:44;08:59;09:06
5;08:32;08:48;09:05;09:20;09:27
1;08:56;09:12;09:29;09:44;09:51
2;09:26;09:42;10:00;10:15;10:22
3;10:05;10:21;10:39;10:54;11:01
5;10:45;11:01;11:19;11:34;11:41
4;11:19;11:35;11:52;12:07;12:14
1;12:00;12:16;12:34;12:49;12:56
2;12:41;12:57;13:14;13:29;13:36
4;13:21;13:37;13:55;14:10;14:17
1;14:03;14:19;14:36;14:51;14:58
2;14:43;14:59;15:17;15:32;15:39
4;15:23;15:39;15:57;16:12;16:19
5;—;—;16:31;16:46;16:53
1;16:05;16:21;16:39;16:54;17:01
3;—;—;17:05;17:20;17:27
2;16:44;17:00;17:18;17:33;17:40
4;17:26;17:42;18:00;18:15;18:22
5;17:59;18:15;18:33;18:48;18:55
3;18:33;18:49;19:07;19:22;19:29
1;19:10;19:26;19:44;19:58;20:05
2;19:51;20:07;20:23;20:37;20:44
4;20:29;20:43;20:59;21:13;21:20
1;21:06;21:20;21:36;21:50;21:57
2;21:47;22:01;22:17;22:31;22:38
4;22:20;22:34;22:50;23:04;23:11
