Тролейбус №30;Четвер 28 травня 2026. Діє з 04.05.2026.
Вулиця Кадетський Гай - Вулиця Милославська
№ випуску;Вулиця Кадетський Гай;Вулиця Борщагівська;Станція метро «Шулявська»;Кирилівська церква;Станція метро «Почайна»;масив Райдужний;Поліклініка;Вулиця Милославська
8;15:40;15:49;16:00;16:17;16:31;16:38;16:43;16:57
9;—;—;—;16:30;16:44;16:51;16:56;17:10
1;16:00;16:08;16:20;16:37;16:51;16:58;17:03;17:17
2;16:19;16:27;16:39;16:56;17:10;17:17;17:22;17:35
3;16:40;16:48;17:00;17:17;17:31;17:38;17:43;17:57
4;17:02;17:10;17:22;17:39;17:53;18:00;18:05;18:19
5;17:20;17:28;17:40;17:57;18:11;18:18;18:23;18:37
6;17:40;17:48;18:00;18:17;18:30;18:37;18:42;18:55
7;18:00;18:08;18:20;18:37;18:50;18:57;19:02;19:15
8;18:20;18:28;18:40;18:57;19:10;19:17;19:22;19:35
9;18:40;18:48;19:00;19:17;19:31;19:38;19:43;19:57
1;19:00;19:08;19:20;19:37;19:51;19:58;20:03;20:16
2;19:20;19:28;19:40;19:57;20:11;20:18;20:23;20:36
3;19:40;19:48;20:00;20:17;20:30;20:37;20:42;20:55
4;20:00;20:08;20:19;20:35;20:49;20:56;21:01;21:14
5;20:34;20:41;20:52;21:08;21:21;21:27;21:32;21:45
6;20:58;21:05;21:16;21:32;21:46;21:53;21:58;22:11
7;21:18;21:25;21:36;21:52;22:06;22:12;22:17;22:30
8;21:40;21:47;21:59;22:15;22:28;22:34;22:39;22:52
1;21:52;22:00;22:11;—;—;—;—;—
2;22:12;22:20;22:31;—;—;—;—;—
3;22:30;22:38;22:49;—;—;—;—;—
4;22:54;23:02;23:13;—;—;—;—;—
5;23:13;23:21;23:32;—;—;—;—;—
