Тролейбус №1;Четвер 28 травня 2026. Діє з 01.04.2026.
Багринова гора - Станція метро «Либідська»
№ випуску;Багринова гора;Стратегичне шосе, Центр комунікації;Станція метро «Либідська»
3;05:55;06:02;06:12
1;06:17;06:24;06:34
3;06:32;06:40;06:50
1;06:55;07:02;07:12
3;07:15;07:23;07:33
1;07:33;07:41;07:51
2;07:48;07:56;08:06
3;07:57;08:05;08:16
1;08:13;08:21;08:31
2;08:29;08:37;08:47
3;08:42;08:50;09:00
1;08:53;09:01;09:11
2;09:09;09:17;09:27
3;09:35;09:43;09:53
2;09:50;09:58;10:08
1;10:25;10:33;10:43
2;10:30;10:38;10:48
3;10:51;10:59;11:09
1;11:10;11:18;11:28
3;11:32;11:40;11:50
1;11:50;11:58;12:08
3;12:12;12:20;12:30
1;12:31;12:39;12:49
3;12:53;13:01;13:11
1;13:11;13:19;13:29
3;13:33;13:41;13:51
1;13:53;14:01;14:11
3;14:12;14:20;14:30
1;14:34;14:42;14:52
3;14:52;15:00;15:10
1;15:14;15:22;15:32
3;15:33;15:41;15:51
1;15:53;16:01;16:10
3;16:14;16:22;16:32
1;16:32;16:40;16:50
3;16:55;17:03;17:13
1;17:12;17:20;17:30
2;17:22;17:30;17:40
3;17:38;17:46;17:56
1;17:52;18:00;18:10
2;18:06;18:14;18:24
3;18:18;18:26;18:36
2;18:48;18:56;19:06
1;19:00;19:08;19:18
3;19:16;19:24;19:34
2;19:29;19:37;19:47
1;19:58;20:06;20:16
2;20:12;20:19;20:29
3;20:20;20:27;20:37
1;20:37;20:44;20:53
3;20:58;21:05;21:15
1;21:15;21:22;21:32
3;21:35;21:42;21:52
1;21:55;22:02;22:12
3;22:18;22:26;22:36
1;22:35;22:42;22:52
3;23:00;23:07;23:17
Станція метро «Либідська» - Багринова гора
№ випуску;Станція метро «Либідська»;Багринова гора
3;06:13;06:30
1;06:35;06:52
3;06:53;07:11
1;07:13;07:30
3;07:34;07:53
1;07:52;08:11
2;08:07;08:26
3;08:17;08:36
1;08:32;08:50
2;08:48;09:06
3;09:01;09:20
1;09:12;09:30
2;09:28;09:47
3;09:54;10:12
2;10:09;10:27
1;10:44;11:03
3;11:10;11:29
1;11:29;11:47
3;11:51;12:09
1;12:09;12:28
3;12:31;12:49
1;12:50;13:08
3;13:12;13:30
1;13:30;13:49
3;13:52;14:10
1;14:12;14:31
3;14:31;14:49
1;14:53;15:11
3;15:11;15:29
1;15:33;15:50
3;15:52;16:10
1;16:11;16:29
3;16:33;16:52
1;16:51;17:09
2;17:00;17:19
3;17:16;17:35
1;17:31;17:49
2;17:44;18:03
3;17:57;18:15
1;18:11;18:30
2;18:26;18:45
3;18:37;18:56
2;19:07;19:25
1;19:19;19:37
3;19:35;19:52
2;19:50;20:08
1;20:17;20:34
3;20:38;20:55
1;20:54;21:11
3;21:16;21:33
1;21:35;21:52
3;21:55;22:13
1;22:15;22:32
3;22:40;22:57
