Тролейбус №47;Четвер 28 травня 2026. Діє з 06.04.2026.
Вулиця Милославська - Станція метро «Мінська»
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;Вулиця Сержа Лифаря;масив Райдужний;Вулиця Приозерна;Станція метро «Мінська»
1;06:00;06:08;06:08;06:20;06:31;06:41
2;06:30;06:38;06:38;06:50;07:01;07:11
3;07:00;07:08;07:08;07:20;07:31;07:41
1;07:32;07:41;07:41;07:53;08:04;08:13
2;08:02;08:11;08:11;08:23;08:34;08:43
3;08:37;08:46;08:46;08:58;09:09;09:19
1;09:20;09:29;09:29;09:41;09:52;10:02
2;09:57;10:06;10:06;10:18;10:29;10:39
3;10:40;10:49;10:49;11:01;11:12;11:22
1;11:14;11:23;11:23;11:35;11:46;11:56
2;11:45;11:54;11:54;12:06;12:17;12:27
3;12:22;12:31;12:31;12:43;12:54;13:03
1;12:50;12:59;12:59;13:11;13:22;13:32
2;13:21;13:30;13:31;13:43;13:54;14:04
3;13:50;13:59;14:00;14:11;14:22;14:32
1;14:22;14:31;14:32;14:44;14:55;15:05
2;14:52;15:01;15:01;15:13;15:24;15:34
3;15:22;15:31;15:31;15:43;15:54;16:04
1;15:54;16:03;16:03;16:15;16:26;16:36
2;16:34;16:43;16:43;16:55;17:06;17:16
3;17:14;17:23;17:23;17:35;17:46;17:56
1;17:50;17:59;17:59;18:11;18:22;18:32
2;18:33;18:42;18:42;18:54;19:05;19:15
3;19:02;19:11;19:11;19:23;19:34;19:44
1;19:33;19:41;19:41;19:53;20:04;20:14
2;20:08;20:16;20:16;20:28;20:39;20:49
3;20:38;20:46;20:46;20:58;21:09;21:19
1;21:06;21:14;21:14;21:26;21:37;21:47
2;21:36;21:45;21:45;21:57;—;—
3;22:06;22:15;22:15;22:27;—;—
1;22:34;22:42;22:42;22:54;—;—
Станція метро «Мінська» - Вулиця Милославська
№ випуску;Станція метро «Мінська»;Вулиця Приозерна;масив Райдужний;Поліклініка;Вулиця Милославська
1;—;—;05:39;05:50;05:57
2;—;—;06:09;06:20;06:27
3;—;—;06:39;06:50;06:57
1;06:44;06:56;07:08;07:19;07:26
2;07:14;07:26;07:38;07:49;07:56
3;07:44;07:56;08:08;08:19;08:26
1;08:16;08:28;08:40;08:51;08:58
2;08:46;08:58;09:10;09:21;09:28
3;09:22;09:34;09:46;09:57;10:04
1;10:05;10:17;10:29;10:40;10:47
2;10:42;10:54;11:06;11:17;11:24
3;11:25;11:37;11:49;12:00;12:07
1;11:59;12:11;12:23;12:34;12:41
2;12:30;12:42;12:54;13:05;13:12
3;13:06;13:18;13:30;13:41;13:48
1;13:35;13:47;13:59;14:10;14:17
2;14:07;14:19;14:31;14:42;14:49
3;14:35;14:47;14:59;15:10;15:17
1;15:08;15:20;15:32;15:43;15:50
2;15:37;15:49;16:01;16:12;16:19
3;16:07;16:19;16:31;16:42;16:49
1;16:39;16:51;17:03;17:14;17:21
2;17:19;17:31;17:43;17:54;18:01
3;17:59;18:11;18:23;18:34;18:41
1;18:35;18:47;18:59;19:10;19:17
2;19:18;19:30;19:42;19:53;20:00
3;19:47;19:59;20:11;20:22;20:29
1;20:17;20:29;20:41;20:52;20:59
2;20:52;21:03;21:15;21:26;21:33
3;21:22;21:33;21:45;21:56;22:03
1;21:50;22:02;22:13;22:24;22:31
