Тролейбус №11;Четвер 28 травня 2026. Діє з 01.05.2026.
Музей народної архітектури і побуту України - Багринова гора
№ випуску;Музей народної архітектури і побуту України;Станція метро «Виставковий центр»;станція метро «Голосіївська»;Багринова гора
1;06:05;06:20;06:26;06:46
3;06:43;06:59;07:05;07:25
4;07:00;07:16;07:22;07:42
5;07:16;07:31;07:37;07:57
6;07:32;07:48;07:54;08:14
1;07:49;08:05;08:11;08:31
2;08:13;08:29;08:35;08:55
3;08:30;08:45;08:51;09:10
5;08:55;09:11;09:17;09:37
4;09:13;09:29;09:35;09:55
6;09:33;09:48;09:54;10:14
2;09:52;10:08;—;—
1;09:58;10:14;10:20;10:40
3;10:32;10:47;10:53;11:13
4;11:03;11:18;11:24;11:44
5;11:21;11:37;11:43;12:03
6;11:38;11:54;12:00;12:20
1;12:00;12:16;12:22;12:42
3;12:20;12:36;12:42;13:02
4;12:40;12:55;13:01;13:21
5;13:00;13:15;13:21;13:41
6;13:20;13:36;13:42;14:02
1;13:39;13:56;14:02;14:22
3;13:59;14:16;14:22;14:42
4;14:19;14:36;14:42;15:02
5;14:40;14:56;15:02;15:22
6;14:57;15:13;15:19;15:39
1;15:20;15:36;15:42;16:02
3;15:40;15:56;16:02;16:22
4;16:05;16:21;16:27;16:47
6;16:33;16:48;16:54;17:14
2;16:58;17:14;17:20;17:40
1;17:25;17:41;17:47;18:07
3;17:47;18:03;18:09;18:29
4;18:10;18:26;18:32;18:52
2;18:37;18:53;18:59;19:19
6;18:57;19:12;19:18;19:37
1;19:20;19:36;19:42;20:01
3;19:44;20:00;20:06;20:25
4;20:08;20:23;20:29;20:48
2;20:13;20:28;—;—
6;20:30;20:45;20:51;21:10
1;20:55;21:10;21:16;21:35
3;21:17;21:32;21:38;21:57
4;21:40;21:55;22:01;22:21
6;22:00;22:15;22:21;22:41
1;22:28;22:43;—;—
3;22:50;23:05;—;—
4;23:14;23:29;—;—
Багринова гора - Музей народної архітектури і побуту України
№ випуску;Багринова гора;Стратегичне шосе, Центр комунікації;станція метро «Голосіївська»;Станція метро «Виставковий центр»;Одеська площа;Музей народної архітектури і побуту України
4;06:10;06:17;06:33;06:39;06:45;06:57
6;06:40;06:47;07:03;07:09;07:16;07:28
1;06:52;07:00;07:17;07:24;07:31;07:43
2;07:10;07:18;07:35;07:42;07:49;08:01
3;07:28;07:36;07:53;08:00;08:07;08:19
4;07:45;07:53;08:10;08:17;08:24;08:36
5;08:00;08:08;08:25;08:32;08:39;08:51
6;08:17;08:25;08:41;08:48;08:55;09:07
1;08:34;08:42;08:59;09:06;09:13;09:24
2;08:58;09:06;09:23;09:30;09:37;09:49
3;09:13;09:21;09:38;09:45;09:52;10:03
5;09:40;09:48;10:05;10:12;10:19;10:31
4;09:58;10:06;10:23;10:30;10:37;10:48
6;10:17;10:25;10:42;10:49;10:56;11:08
1;10:43;10:51;11:08;11:15;11:22;11:34
3;11:15;11:23;11:39;11:46;11:53;12:04
4;11:46;11:54;12:10;12:17;12:24;12:36
5;12:06;12:14;12:30;12:37;12:44;12:56
6;12:23;12:31;12:48;12:55;13:02;13:14
1;12:45;12:53;13:10;13:17;13:24;13:36
3;13:05;13:13;13:30;13:37;13:44;13:56
4;13:24;13:32;13:49;13:56;14:03;14:15
5;13:43;13:51;14:08;14:15;14:22;14:34
6;14:04;14:12;14:29;14:36;14:43;14:54
1;14:25;14:33;14:50;14:57;15:04;15:16
3;14:45;14:53;15:10;15:17;15:24;15:36
4;15:07;15:15;15:32;15:39;15:46;15:58
5;15:25;15:33;15:47;15:57;—;—
6;15:41;15:49;16:05;16:12;16:19;16:30
1;16:05;16:13;16:30;16:37;16:44;16:56
3;16:25;16:33;16:50;16:57;17:04;17:16
4;16:50;16:58;17:15;17:22;17:29;17:41
6;17:17;17:25;17:42;17:49;17:56;18:08
2;17:43;17:51;18:08;18:15;18:22;18:34
1;18:10;18:18;18:35;18:42;18:49;19:01
3;18:32;18:40;18:57;19:04;19:11;19:23
4;18:55;19:03;19:20;19:27;19:34;19:46
2;19:22;19:30;19:46;19:52;19:58;20:10
6;19:40;19:48;20:04;20:10;20:16;20:27
1;20:04;20:11;20:27;20:33;20:39;20:50
3;20:28;20:35;20:51;20:57;21:03;21:14
4;20:50;20:57;21:13;21:19;21:25;21:36
6;21:12;21:19;21:35;21:41;21:47;21:58
1;21:38;21:46;22:02;22:08;22:14;22:25
3;22:00;22:08;22:24;22:30;22:36;22:47
4;22:25;22:32;22:48;22:54;23:00;23:11
6;22:45;22:52;23:05;23:14;—;—
