Тролейбус №50;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Милославська - Станція метро «Либідська»
№ випуску;Вулиця Милославська;Вулиця Сержа Лифаря;Вулиця Сержа Лифаря;Вулиця Чорних Запорожців;площа Дарницька;Площа Наводницька;Станція метро «Либідська»
1;06:10;06:18;06:18;06:32;06:46;07:00;07:09
2;06:33;06:41;06:41;06:55;07:10;07:24;07:32
4;06:53;07:01;07:01;07:16;07:31;07:46;07:54
5;07:06;07:14;07:14;07:29;07:44;07:59;08:07
6;07:20;07:28;07:28;07:43;07:58;08:13;08:21
7;07:34;07:42;07:42;07:57;08:12;08:27;08:35
8;07:50;07:58;07:58;08:13;08:28;08:43;08:51
9;08:04;08:12;08:12;08:27;08:42;08:56;09:04
10;08:20;08:28;08:28;08:43;08:58;09:13;09:21
11;08:33;08:42;08:42;08:57;09:12;09:27;09:34
1;08:41;08:50;08:50;09:05;09:20;09:35;09:42
2;08:45;08:53;09:38;09:53;10:08;10:22;10:30
3;09:00;09:09;09:09;09:24;09:39;09:53;10:01
4;09:10;09:18;09:18;09:33;09:48;10:02;10:10
7;09:47;09:55;10:40;10:55;11:10;11:24;11:32
5;10:06;10:14;10:14;10:29;10:44;10:58;11:06
1;10:55;11:03;11:27;11:42;11:57;12:12;12:20
9;10:58;11:06;11:06;11:21;11:36;11:50;11:58
3;11:15;11:24;12:14;12:29;12:44;12:59;13:07
2;11:42;11:51;11:51;12:06;12:21;12:35;12:43
5;12:28;12:36;12:36;12:51;13:06;13:20;13:28
7;12:51;12:59;12:59;13:14;13:29;13:43;13:51
9;13:12;13:21;13:21;13:36;13:51;14:06;14:14
1;13:35;13:44;13:44;13:59;14:14;14:29;14:37
2;13:57;14:06;14:06;14:21;14:36;14:51;14:59
3;14:21;14:30;14:30;14:45;15:00;15:14;15:22
5;14:42;14:51;14:51;15:06;15:21;15:35;15:43
7;15:04;15:13;15:13;15:28;15:43;15:57;16:05
9;15:28;15:37;15:37;15:52;16:07;16:21;16:29
1;15:52;16:01;16:01;16:16;16:31;16:46;16:53
2;16:14;16:23;16:23;16:38;16:53;17:07;17:15
3;16:36;16:45;16:45;17:00;17:15;17:30;17:38
5;16:58;17:07;17:07;17:22;17:37;17:52;18:00
11;17:08;17:17;17:17;17:32;17:47;18:02;18:10
7;17:18;17:27;17:27;17:42;17:57;18:12;18:20
8;17:34;17:42;17:42;17:57;18:12;18:26;18:34
9;17:42;17:51;18:40;18:55;19:10;19:25;19:33
10;17:55;18:03;18:03;18:18;18:33;18:47;18:55
1;18:06;18:15;19:01;19:16;19:31;19:47;19:55
6;18:17;18:26;18:26;18:41;18:56;19:11;19:19
2;18:28;18:37;19:28;19:43;19:58;20:12;20:20
4;18:44;18:53;18:53;19:08;19:22;19:36;19:43
3;18:53;19:02;19:50;20:05;20:20;20:34;20:42
5;19:13;19:22;20:12;20:26;20:40;20:54;21:02
11;19:27;19:35;19:35;19:50;20:04;20:17;20:25
8;19:50;19:58;19:58;20:13;20:27;20:40;20:48
10;20:12;20:21;20:21;20:36;20:51;21:05;21:13
7;20:26;20:34;20:34;20:49;21:03;21:17;21:25
6;20:32;20:40;20:40;20:54;21:08;21:22;21:30
9;20:50;20:58;20:58;21:12;21:26;21:40;21:48
1;21:12;21:20;21:20;21:34;21:48;22:02;22:10
2;21:36;21:44;21:44;21:58;22:12;22:25;22:33
3;22:00;22:08;22:08;22:22;22:36;22:50;22:58
Станція метро «Либідська» - Вулиця Милославська
№ випуску;Станція метро «Либідська»;міст Патона;Дарницький універмаг;Вулиця Чорних Запорожців;Поліклініка;Вулиця Милославська
4;05:45;05:57;06:12;06:27;06:43;06:50
6;06:12;06:24;06:39;06:54;07:10;07:17
8;06:38;06:50;07:05;07:21;07:38;07:45
9;06:52;07:05;07:21;07:37;07:54;08:01
10;07:05;07:18;07:34;07:50;08:07;08:14
1;07:11;07:23;07:38;07:54;08:11;08:18
11;07:19;07:32;07:48;08:04;08:21;08:28
2;07:34;07:47;08:02;08:18;08:35;08:42
3;07:45;07:58;08:14;08:30;08:47;08:54
4;07:56;08:09;08:25;08:41;08:58;09:05
5;08:10;08:23;08:39;08:55;09:12;09:19
7;08:37;08:50;09:05;09:21;09:38;09:45
9;09:06;09:18;09:34;09:50;10:06;10:13
1;09:44;09:57;10:13;10:29;10:46;10:53
3;10:04;10:17;10:33;10:49;11:06;11:13
2;10:32;10:44;10:59;11:15;11:32;11:39
5;11:10;11:23;11:39;11:55;12:12;12:19
7;11:34;11:46;12:02;12:18;12:34;12:41
9;12:00;12:13;12:29;12:45;13:02;13:09
1;12:22;12:35;12:51;13:07;13:24;13:31
2;12:45;12:58;13:14;13:30;13:47;13:54
3;13:09;13:22;13:38;13:54;14:11;14:18
5;13:30;13:42;13:58;14:14;14:31;14:38
