Тролейбус №42;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Ольжича - Станція метро «Либідська»
№ випуску;Вулиця Ольжича;Станція метро «Шулявська»;Вулиця Борщагівська;Площа Космонавтів;Вулиця Максима Токарева;Вулиця Володимира Брожка;Станція метро «Либідська»
1;—;05:30;05:36;05:41;05:48;05:58;06:08
2;—;05:54;06:00;06:05;06:12;06:22;06:32
3;06:00;06:11;06:18;06:24;06:31;06:42;06:54
4;06:22;06:33;06:40;06:46;06:53;07:04;07:15
5;06:44;06:55;07:02;07:07;07:15;07:26;07:37
1;07:05;07:16;07:23;07:28;07:36;07:47;07:58
2;07:30;07:41;07:48;07:53;08:01;08:12;08:23
3;07:52;08:03;08:10;08:15;08:23;08:34;08:45
4;08:12;08:23;08:30;08:35;08:43;08:54;09:05
5;08:35;08:46;08:53;08:58;09:06;09:17;09:28
1;09:07;09:18;09:25;09:30;09:38;09:49;10:00
2;09:30;09:41;09:48;09:53;10:01;10:12;10:23
3;09:55;10:06;10:13;10:18;10:25;10:36;10:47
4;10:22;10:33;10:40;10:45;10:53;11:04;11:15
5;10:46;10:57;11:04;11:09;11:16;11:27;11:38
1;11:22;11:33;11:40;11:45;11:53;12:04;12:15
2;11:46;11:57;12:04;12:09;12:17;12:28;12:39
3;12:08;12:19;12:26;12:31;12:39;12:50;13:01
4;12:30;12:41;12:48;12:53;13:01;13:12;13:23
5;12:51;13:02;13:09;13:14;13:22;13:33;13:44
1;13:14;13:25;13:32;13:37;13:45;13:56;14:07
2;13:36;13:47;13:54;13:59;14:07;14:18;14:29
3;13:57;14:09;14:16;14:21;14:29;14:40;14:51
4;14:19;14:31;14:38;14:43;14:51;15:02;15:13
5;14:41;14:53;15:00;15:05;15:13;15:24;15:35
1;15:04;15:15;15:22;15:27;15:35;15:46;15:57
2;15:26;15:37;15:44;15:49;15:57;16:08;16:19
3;15:48;15:59;16:06;16:11;16:19;16:30;16:41
4;16:10;16:21;16:28;16:33;16:41;16:52;17:03
5;16:33;16:44;16:51;16:56;17:04;17:15;17:26
1;16:55;17:06;17:13;17:18;17:26;17:37;17:48
2;17:26;17:37;17:44;17:49;17:57;18:08;18:19
3;17:56;18:07;18:14;18:19;18:27;18:38;18:49
4;18:20;18:31;18:38;18:43;18:51;19:02;19:13
5;18:45;18:56;19:03;19:08;19:16;19:27;19:38
1;19:15;19:26;19:33;19:38;19:46;19:57;20:08
2;19:41;19:52;19:59;20:05;20:12;20:23;20:34
3;20:06;20:17;20:24;20:29;20:37;20:48;20:59
4;20:28;20:39;20:46;20:52;20:59;21:10;21:20
5;20:50;21:01;21:08;21:14;21:21;21:31;21:41
1;21:14;21:24;21:30;21:35;21:42;21:52;22:02
2;21:35;21:45;21:51;21:56;22:03;22:13;22:23
3;21:55;22:05;22:11;22:16;22:23;22:33;22:43
Станція метро «Либідська» - Вулиця Ольжича
№ випуску;Станція метро «Либідська»;Вулиця Володимира Брожка;проспект Повітряних Сил;Вулиця Борщагівська;Станція метро «Шулявська»;Вулиця Ольжича
1;06:10;06:20;06:32;06:43;06:51;07:01
2;06:35;06:45;06:57;07:09;07:15;07:27
3;06:58;07:08;07:20;07:31;07:37;07:49
4;07:17;07:27;07:39;07:50;07:56;08:08
5;07:39;07:49;08:01;08:12;08:18;08:30
1;08:00;08:10;08:22;08:33;08:39;08:51
2;08:25;08:35;08:46;08:57;09:03;09:15
3;08:47;08:57;09:08;09:19;09:25;09:37
4;09:07;09:17;09:28;09:39;09:45;09:57
5;09:30;09:40;09:52;10:03;10:09;10:21
1;10:02;10:12;10:24;10:35;10:41;10:53
2;10:25;10:35;10:47;10:58;11:04;11:16
3;10:49;10:59;11:11;11:22;11:28;11:40
4;11:18;11:28;11:40;11:51;11:57;12:09
5;11:40;11:50;12:02;12:13;12:19;12:31
1;12:17;12:27;12:39;12:50;12:56;13:08
2;12:41;12:51;13:03;13:14;13:20;13:32
3;13:03;13:13;13:25;13:36;13:42;13:54
4;13:25;13:35;13:47;13:58;14:04;14:16
5;13:46;13:56;14:07;14:18;14:24;14:36
1;14:09;14:19;14:31;14:42;14:49;15:01
2;14:31;14:41;14:53;15:04;15:11;15:23
3;14:53;15:03;15:15;15:26;15:32;15:44
4;15:15;15:25;15:37;15:48;15:54;16:06
5;15:39;15:49;16:01;16:12;16:18;16:30
1;15:59;16:09;16:21;16:32;16:38;16:50
2;16:21;16:31;16:43;16:53;16:59;17:11
3;16:43;16:53;17:05;17:16;17:22;17:34
4;17:05;17:15;17:27;17:38;17:44;17:56
5;17:28;17:38;17:49;18:00;18:06;18:18
1;17:50;18:00;18:12;18:23;18:29;18:41
2;18:21;18:31;18:42;18:53;18:59;19:11
3;18:51;19:01;19:13;19:24;19:30;19:42
4;19:15;19:25;19:37;19:48;19:54;20:06
5;19:40;19:50;20:02;20:13;20:20;20:30
1;20:10;20:20;20:31;20:42;20:48;20:59
2;20:36;20:46;20:58;21:09;21:15;21:27
3;21:01;21:11;21:23;21:34;21:40;21:50
4;21:22;21:32;21:44;21:55;22:01;22:11
5;21:43;21:53;22:05;22:16;22:22;22:32
1;22:04;22:14;22:25;22:35;22:41;22:51
2;22:25;22:34;22:45;22:55;23:01;23:11
3;22:45;22:54;23:05;23:15;23:21;23:31
