Тролейбус №18;Четвер 28 травня 2026. Діє з 23.04.2026.
Вулиця Сошенка - Майдан Незалежності
№ випуску;Вулиця Сошенка;Куренівський парк;Станція метро «Лук’янівська»;Майдан Незалежності
5;17:04;17:20;17:38;17:53;17:56
6;17:12;17:28;17:46;18:01;18:04
7;17:20;17:36;17:54;18:09;18:12
8;17:28;17:44;18:02;18:17;18:20
9;17:37;17:53;18:11;18:26;18:29
10;17:45;18:01;18:19;18:34;18:37
11;17:53;18:09;18:27;18:42;18:45
12;18:03;18:19;18:37;18:52;18:55
13;18:13;18:29;18:47;19:02;19:05
2;18:28;18:44;19:02;19:17;19:20
1;18:38;18:54;19:12;19:27;19:30
4;18:46;19:02;19:20;19:35;19:38
3;18:54;19:10;19:28;19:43;19:46
6;19:04;19:20;19:36;19:50;19:53
8;19:16;19:30;19:46;20:00;20:03
5;19:27;19:43;19:59;20:13;20:16
10;19:39;19:55;20:12;20:26;20:29
7;19:55;20:11;20:27;20:41;20:44
9;20:10;20:24;20:40;20:54;20:57
11;20:25;20:39;20:55;21:09;21:12
13;20:41;20:55;21:11;21:25;21:28
1;20:56;21:10;21:26;21:40;21:43
3;21:10;21:24;21:40;21:54;21:57
5;21:27;21:42;21:58;22:12;22:15
7;21:39;21:53;22:09;22:23;22:26
9;21:53;22:07;22:23;22:37;22:40
11;22:07;22:21;22:37;22:51;22:54
13;22:25;22:39;22:55;23:09;23:12
1;22:33;22:47;—;—;—
3;22:50;23:04;—;—;—
