Автобус №115;Четвер 28 травня 2026. Діє з 25.05.2026. Зміна розкладу з 29.05.2026.
Будинок культури - Контрактова площа
№ випуску;Будинок культури;Залізничний вокзал Дарниця;Бульвар Гашека;Дарницький універмаг;Бульвар Ігоря Шамо;Станція метро «Дніпро»;Контрактова площа
1;06:00;06:05;06:13;06:15;06:20;06:32;06:43
3;06:32;06:37;06:46;06:48;06:53;07:05;07:17
4;07:04;07:09;07:18;07:20;07:25;07:37;07:49
1;07:36;07:41;07:50;07:52;07:57;08:09;08:21
3;08:08;08:13;08:22;08:24;08:29;08:41;08:53
4;08:45;08:50;08:59;09:01;09:06;09:18;09:30
1;09:30;09:35;09:44;09:46;09:51;10:03;10:15
3;10:02;10:07;10:16;10:18;10:23;10:35;10:47
2;10:29;10:34;10:43;10:45;10:50;11:02;11:14
4;10:56;11:01;11:10;11:12;11:17;11:29;11:41
1;11:39;11:44;11:53;11:55;12:00;12:12;12:24
2;12:04;12:09;12:18;12:20;12:25;12:37;12:49
3;12:20;12:25;12:34;12:36;12:41;12:53;13:05
4;12:50;12:55;13:04;13:06;13:11;13:23;13:35
1;13:22;13:27;13:36;13:38;13:43;13:55;14:07
2;13:39;13:44;13:53;13:55;14:00;14:12;14:24
3;13:54;13:59;14:08;14:10;14:15;14:27;14:39
4;14:26;14:31;14:40;14:42;14:47;14:59;15:11
1;14:58;15:03;15:12;15:14;15:19;15:31;15:43
3;15:30;15:35;15:44;15:46;15:51;16:03;16:15
4;16:02;16:07;16:16;16:18;16:23;16:35;16:47
2;16:18;16:23;16:32;16:34;16:39;16:51;17:03
1;16:34;16:39;16:48;16:50;16:55;17:07;17:19
3;17:06;17:11;17:20;17:22;17:27;17:39;17:51
4;17:54;17:59;18:08;18:10;18:15;18:27;18:39
1;18:37;18:42;18:51;18:53;18:58;19:10;19:22
3;19:20;19:25;19:34;19:36;19:41;19:53;20:05
4;20:03;20:08;20:17;20:19;20:24;20:36;20:48
1;20:37;20:42;20:51;20:53;20:58;21:10;21:22
3;21:14;21:19;21:28;21:30;21:35;21:47;21:59
4;21:50;21:55;22:04;22:06;22:11;22:23;22:35
1;22:13;22:18;22:27;—;—;—;—
3;22:53;22:58;23:07;—;—;—;—
4;23:33;23:38;23:47;—;—;—;—
Контрактова площа - Будинок культури
№ випуску;Контрактова площа;Станція метро «Дніпро»;Бульвар Ігоря Шамо;вулиця Празька;Залізничний вокзал Дарниця;Будинок культури
1;—;—;—;05:40;05:52;05:57
3;—;—;—;06:12;06:24;06:29
4;—;—;—;06:44;06:56;07:01
1;06:45;06:57;07:07;07:13;07:25;07:30
3;07:20;07:32;07:42;07:48;08:00;08:05
4;07:52;08:04;08:14;08:20;08:32;08:37
1;08:24;08:36;08:46;08:52;09:04;09:09
2;08:40;08:52;09:02;09:08;09:20;09:25
3;08:56;09:08;09:18;09:24;09:36;09:41
4;09:33;09:45;09:55;10:01;10:13;10:18
1;10:18;10:30;10:40;10:46;10:58;11:03
3;10:50;11:02;11:12;11:18;11:30;11:35
2;11:17;11:29;11:39;11:45;11:57;12:02
4;11:44;11:56;12:06;12:12;12:24;12:29
1;12:27;12:39;12:49;12:55;13:07;13:12
2;12:52;13:04;13:14;13:20;13:32;13:37
3;13:07;13:19;13:29;13:35;13:47;13:52
4;13:38;13:50;14:00;14:06;14:18;14:23
1;14:10;14:22;14:32;14:38;14:50;14:55
2;14:27;14:40;14:51;14:57;15:09;15:14
3;14:42;14:54;15:04;15:10;15:22;15:27
4;15:14;15:26;15:36;15:42;15:54;15:59
1;15:46;15:58;16:08;16:14;16:26;16:31
3;16:18;16:30;16:40;16:46;16:58;17:03
4;16:49;17:01;17:11;17:17;17:29;17:33
1;17:22;17:34;17:44;17:50;18:02;18:07
3;17:54;18:06;18:16;18:22;18:34;18:39
4;18:42;18:54;19:04;19:10;19:22;19:27
1;19:25;19:37;19:47;19:53;20:05;20:10
3;20:08;20:20;20:30;20:36;20:48;20:53
4;20:51;21:03;21:13;21:19;21:31;21:36
1;21:25;21:37;21:47;21:53;22:05;22:10
3;22:05;22:17;22:27;22:33;22:45;22:50
4;22:45;22:57;23:07;23:13;23:25;23:30
