Автобус №20;Четвер 28 травня 2026. Діє з 22.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Площа Українських Героїв» - Житловий масив Корчувате
№ випуску;Станція метро «Площа Українських Героїв»;Станція метро «Либідська»;Вулиця Моторна;Житловий масив Корчувате
3;06:15;06:30;06:44;06:56
4;06:29;06:44;06:58;07:10
5;06:43;06:58;07:12;07:24
6;06:57;07:12;07:26;07:38
1;07:11;07:26;07:40;07:52
2;07:27;07:43;07:57;08:09
3;07:40;07:55;08:09;08:21
4;07:54;08:09;08:23;08:35
5;08:08;08:23;08:37;08:49
6;08:20;08:34;08:49;09:02
1;08:36;08:51;09:05;09:17
2;08:53;09:08;09:22;09:34
3;09:05;09:20;09:34;09:46
5;09:33;09:48;10:02;10:14
1;10:17;10:31;10:45;10:57
3;10:52;11:07;11:21;11:33
5;11:29;11:44;11:58;12:10
1;12:03;12:17;12:31;12:43
3;12:39;12:53;13:07;13:19
5;13:07;13:23;13:37;13:49
1;13:31;13:45;13:59;14:11
3;14:03;14:17;14:31;14:43
5;14:33;14:47;15:01;15:13
1;14:59;15:14;15:28;15:40
3;15:28;15:43;15:57;16:09
5;15:56;16:11;16:25;16:37
6;16:10;16:25;16:39;16:51
1;16:24;16:39;16:53;17:05
2;16:39;16:54;17:08;17:20
3;16:53;17:08;17:22;17:34
4;17:07;17:22;17:36;17:48
5;17:21;17:36;17:50;18:02
6;17:43;17:57;18:11;18:23
2;18:03;18:18;18:32;18:44
1;18:18;18:33;18:47;18:59
4;18:33;18:48;19:02;19:14
3;18:49;19:04;19:18;19:30
6;19:06;19:21;19:35;19:47
5;19:20;19:35;19:49;20:01
2;19:33;19:47;20:01;20:13
1;19:48;20:03;20:17;20:29
4;20:03;20:18;20:32;20:44
3;20:30;20:44;20:58;21:10
5;20:57;21:12;21:26;21:38
1;21:25;21:40;21:54;22:06
3;21:57;22:12;22:26;22:38
5;22:30;22:45;22:59;23:11
Житловий масив Корчувате - Станція метро «Площа Українських Героїв»
№ випуску;Житловий масив Корчувате;Вулиця Моторна;Стратегичне шосе, Центр комунікації;Станція метро «Либідська»;Станція метро «Площа Українських Героїв»
1;06:30;06:43;06:51;06:56;07:10
2;06:44;06:56;07:04;07:09;07:24
3;06:59;07:12;07:20;07:25;07:39
4;07:13;07:26;07:34;07:39;07:53
5;07:27;07:40;07:48;07:53;08:07
6;07:40;07:53;08:01;08:06;08:19
1;07:55;08:08;08:16;08:21;08:35
2;08:11;08:25;08:33;08:38;08:52
3;08:23;08:36;08:44;08:49;09:04
4;08:38;08:51;08:59;09:04;09:18
5;08:52;09:05;09:13;09:18;09:32
6;09:13;09:26;09:34;09:39;09:53
1;09:37;09:50;09:58;10:03;10:16
3;10:11;10:24;10:32;10:37;10:51
5;10:47;11:00;11:08;11:13;11:28
1;11:23;11:36;11:44;11:49;12:02
3;11:55;12:08;12:16;12:21;12:37
5;12:25;12:38;12:46;12:51;13:06
1;12:51;13:04;13:12;13:17;13:30
3;13:23;13:36;13:44;13:49;14:02
5;13:52;14:06;14:14;14:19;14:32
1;14:15;14:28;14:36;14:41;14:56
3;14:47;15:00;15:08;15:13;15:27
5;15:15;15:28;15:36;15:41;15:55
1;15:43;15:56;16:04;16:09;16:23
3;16:12;16:25;16:33;16:38;16:52
5;16:40;16:53;17:01;17:06;17:20
6;17:03;17:16;17:24;17:29;17:42
2;17:23;17:36;17:44;17:49;18:02
1;17:37;17:50;17:58;18:03;18:17
4;17:52;18:05;18:13;18:18;18:32
3;18:07;18:20;18:28;18:33;18:47
6;18:25;18:38;18:46;18:51;19:05
5;18:39;18:52;19:00;19:05;19:19
2;18:53;19:06;19:14;19:19;19:32
1;19:07;19:20;19:28;19:33;19:47
4;19:21;19:34;19:42;19:47;20:01
3;19:50;20:03;20:11;20:16;20:29
5;20:16;20:29;20:37;20:42;20:56
1;20:44;20:57;21:05;21:10;21:24
3;21:13;21:26;21:34;21:39;21:53
5;21:43;21:56;22:04;22:09;22:25
1;22:14;22:27;22:35;22:40;22:54
3;22:45;22:58;23:06;23:11;23:25
