Автобус №21;Четвер 28 травня 2026. Діє з 30.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Почайна» - Вулиця Милославська
№ випуску;Станція метро «Почайна»;проспект Володимира Івасюка;масив Райдужний;Вулиця Данькевича;Вулиця Милославська;Вулиця Милославська
7;18:19;18:23;18:36;18:44;18:52;18:53
2;18:36;18:40;18:53;19:01;19:09;19:10
1;18:48;18:52;19:05;19:13;19:21;19:22
4;19:00;19:04;19:17;19:25;19:33;19:34
3;19:12;19:16;19:29;19:37;19:45;19:46
6;19:24;19:28;19:41;19:49;19:57;19:58
5;19:40;19:44;19:57;20:05;20:13;20:14
2;19:55;19:59;20:12;20:20;20:28;20:29
7;20:08;20:12;20:24;20:31;20:39;20:40
1;20:31;20:35;20:48;20:56;21:04;21:05
3;20:53;20:57;21:10;21:18;21:26;21:27
5;21:15;21:19;21:32;21:40;21:48;21:49
7;21:37;21:41;21:53;22:01;22:09;22:10
1;21:54;21:58;22:11;22:19;22:27;22:28
3;22:12;22:16;22:29;22:37;22:45;22:46
5;22:30;22:34;22:47;22:54;23:02;23:03
