Автобус №62;Четвер 28 травня 2026. Діє з 05.03.2026.
Ботанічний сад - Контрактова площа (ст. м. Контрактова пл.)
№ випуску;Ботанічний сад;Вулиця Д. Макеейна;площа Лесі Українки (ст.м. Печерська);Станція метро «Арсенальна»;Бессарабська площа;Поштова площа;Контрактова площа (ст. м. Контрактова пл.)
1;06:00;06:04;06:07;06:15;06:29;06:37;06:42
2;06:30;06:34;06:37;06:45;06:59;07:07;07:12
3;07:00;07:04;07:07;07:15;07:29;07:37;07:42
1;07:30;07:34;07:37;07:45;07:59;08:07;08:14
2;08:00;08:04;08:07;08:17;08:34;08:44;08:51
3;08:35;08:40;08:43;08:53;09:10;09:20;09:27
1;09:20;09:25;09:28;09:38;09:55;10:05;10:12
2;10:05;10:10;10:13;10:23;10:40;10:50;10:57
3;10:49;10:54;10:57;11:07;11:24;11:34;11:41
1;11:35;11:40;11:43;11:53;12:10;12:20;12:27
2;12:10;12:15;12:18;12:28;12:45;12:55;13:02
3;12:45;12:50;12:53;13:03;13:20;13:30;13:37
1;13:20;13:25;13:28;13:38;13:55;14:05;14:12
2;13:55;14:00;14:03;14:13;14:30;14:40;14:47
3;14:30;14:35;14:38;14:48;15:05;15:15;15:22
1;15:05;15:10;15:13;15:23;15:40;15:50;15:57
2;15:45;15:50;15:53;16:03;16:20;16:30;16:37
3;16:30;16:35;16:38;16:48;17:05;17:15;17:22
1;17:15;17:20;17:23;17:33;17:50;18:00;18:07
2;17:55;18:00;18:03;18:13;18:30;18:40;18:47
3;18:40;18:45;18:48;18:58;19:15;19:25;19:32
1;19:20;19:25;19:28;19:38;19:55;20:05;20:10
2;19:55;20:00;20:03;20:11;20:25;20:33;20:38
3;20:30;20:34;20:37;20:45;20:59;21:07;21:12
1;21:00;21:04;21:07;21:15;21:29;21:37;21:42
2;21:30;21:34;21:37;21:45;21:59;22:07;22:12
3;22:00;22:04;22:07;22:15;22:29;22:37;22:42
1;22:30;22:34;22:37;22:45;22:59;23:07;23:12
Контрактова площа (ст. м. Контрактова пл.) - Ботанічний сад
№ випуску;Контрактова площа (ст. м. Контрактова пл.);Поштова площа;Бессарабська площа;Станція метро «Арсенальна»;площа Лесі Українки (ст.м. Печерська);Ботанічний сад
1;06:45;06:50;06:58;07:12;07:21;07:28
2;07:15;07:20;07:28;07:42;07:51;07:58
3;07:45;07:50;07:58;08:12;08:22;08:30
1;08:17;08:22;08:31;08:47;08:57;09:05
2;08:54;08:59;09:08;09:24;09:34;09:42
3;09:30;09:35;09:44;10:00;10:10;10:18
1;10:15;10:20;10:29;10:45;10:55;11:03
2;11:00;11:05;11:14;11:30;11:40;11:48
3;11:43;11:48;11:57;12:13;12:23;12:30
1;12:30;12:35;12:44;13:00;13:10;13:18
2;13:05;13:10;13:19;13:35;13:45;13:53
3;13:40;13:45;13:54;14:10;14:20;14:28
1;14:15;14:20;14:29;14:45;14:55;15:03
2;14:50;14:55;15:04;15:20;15:30;15:38
3;15:25;15:30;15:39;15:55;16:05;16:12
1;16:00;16:05;16:14;16:30;16:40;16:48
2;16:40;16:45;16:54;17:10;17:20;17:28
3;17:25;17:30;17:39;17:55;18:05;18:13
1;18:10;18:15;18:24;18:40;18:50;18:58
2;18:50;18:55;19:04;19:20;19:30;19:37
3;19:35;19:40;19:49;20:05;20:14;20:21
1;20:13;20:18;20:26;20:40;20:49;20:56
2;20:41;20:46;20:54;21:08;21:17;21:24
3;21:15;21:20;21:28;21:42;21:51;21:58
1;21:45;21:50;21:58;22:12;22:21;22:28
2;22:20;22:25;22:33;22:47;22:56;23:03
