Автобус №78;Четвер 28 травня 2026. Діє з 26.02.2026.
Станція метро «Васильківська» - Державна адміністрація
№ випуску;Станція метро «Васильківська»;Вулиця Григорія Гуляницького;Кільцева дорога;Аеропорт "Київ";Термінал А;Державна адміністрація
2;06:15;06:22;06:35;06:41;06:43;06:48
1;06:55;07:02;07:15;07:21;07:23;07:28
2;07:40;07:47;08:00;08:06;08:08;08:13
1;08:15;08:22;08:35;08:41;08:43;08:49
2;09:00;09:07;09:20;09:26;09:28;09:33
1;09:40;09:47;10:00;10:06;10:08;10:13
2;11:00;11:07;11:20;11:26;11:28;11:33
2;12:20;12:27;12:40;12:46;12:48;12:53
2;13:55;14:02;14:15;14:21;14:23;14:28
2;15:15;15:22;15:35;15:41;15:43;15:48
2;16:50;16:57;17:10;17:16;17:18;17:23
1;17:30;17:37;17:50;17:56;17:58;18:03
2;18:10;18:17;18:30;18:36;18:38;18:43
1;19:00;19:07;19:20;19:26;19:28;19:33
2;19:55;20:02;20:15;20:21;20:23;20:28
Державна адміністрація - Станція метро «Васильківська»
№ випуску;Державна адміністрація;Аеропорт "Київ";Кільцева дорога;Вулиця Григорія Гуляницького;Станція метро «Васильківська»
2;06:50;07:01;07:07;07:25;07:34
1;07:30;07:41;07:47;08:04;08:13
2;08:15;08:26;08:32;08:49;08:58
1;08:55;09:06;09:12;09:29;09:38
2;09:34;09:45;09:50;10:07;10:15
2;11:35;11:46;11:52;12:09;12:18
2;12:55;13:06;13:12;13:29;13:38
2;14:30;14:41;14:47;15:04;15:13
2;15:50;16:01;16:07;16:24;16:33
1;16:45;16:56;17:02;17:19;17:28
2;17:25;17:36;17:42;17:59;18:08
1;18:05;18:16;18:22;18:39;18:48
2;18:45;18:56;19:02;19:18;19:27
1;19:35;19:46;19:52;20:09;20:18
2;20:30;20:41;20:47;21:04;21:13
