Автобус №47;Четвер 28 травня 2026. Діє з 23.04.2026.
Станція метро «Нивки» - Станція метро «Дорогожичі»
№ випуску;Станція метро «Нивки»;Національна бібліотека України для дітей;Станція метро «Сирець»;Станція метро «Дорогожичі» (вис);Станція метро «Дорогожичі»
2;06:00;06:10;06:16;06:21;06:26
1;06:30;06:40;06:46;06:51;06:56
2;07:00;07:10;07:16;07:21;07:26
1;07:30;07:40;07:46;07:51;07:56
2;08:00;08:10;08:16;08:21;08:26
1;08:30;08:40;08:46;08:51;08:56
2;09:00;09:10;09:16;09:21;09:26
1;09:30;09:40;09:46;09:51;09:56
2;10:30;10:40;10:46;10:51;10:56
2;11:45;11:55;12:01;12:06;12:11
2;12:45;12:55;13:01;13:06;13:11
2;13:45;13:55;14:01;14:06;14:11
2;14:45;14:55;15:01;15:06;15:11
1;15:15;15:25;15:31;15:36;15:41
2;15:45;15:55;16:01;16:06;16:11
1;16:20;16:30;16:36;16:41;16:46
2;16:50;17:00;17:06;17:11;17:16
1;17:20;17:30;17:36;17:41;17:46
2;18:02;18:12;18:18;18:23;18:28
1;18:30;18:40;18:46;18:51;18:56
2;19:30;19:40;19:46;19:51;19:56
2;20:30;20:40;20:46;20:51;20:56
2;21:30;21:40;21:46;21:51;21:56
Станція метро «Дорогожичі» - Станція метро «Нивки»
№ випуску;Станція метро «Дорогожичі»;Станція метро «Сирець»;Національна бібліотека України для дітей;Станція метро «Нивки»
2;06:30;06:35;06:47;06:57
1;07:00;07:05;07:17;07:27
2;07:30;07:35;07:47;07:57
1;08:00;08:05;08:17;08:27
2;08:30;08:35;08:47;08:57
1;09:00;09:05;09:17;09:27
2;09:30;09:35;09:47;09:57
1;10:00;10:05;10:17;10:27
2;11:00;11:05;11:17;11:27
2;12:15;12:20;12:32;12:42
2;13:15;13:20;13:32;13:42
2;14:15;14:20;14:32;14:42
2;15:15;15:20;15:32;15:42
1;15:45;15:50;16:02;16:12
2;16:15;16:20;16:32;16:42
1;16:50;16:55;17:07;17:17
2;17:20;17:25;17:37;17:47
1;17:50;17:55;18:07;18:18
2;18:32;18:37;18:49;18:59
1;19:00;19:05;19:17;19:27
2;20:00;20:05;20:17;20:27
2;21:00;21:05;21:17;21:27
2;22:00;22:05;22:17;22:27
