Автобус №87;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Осокорки» - Вулиця Митрополита А. Шептицького
№ випуску;Станція метро «Осокорки»;Ст. міської електрички «Березняки»;Кінотеатр Старт;Станція метро «Лівобережна»;Вулиця Митрополита А. Шептицького(вис);Вулиця Митрополита А. Шептицького
1;—;—;—;06:10;06:14;06:15
2;06:15;06:27;06:35;06:43;06:47;06:48
1;06:55;07:07;07:15;07:23;07:27;07:28
2;07:25;07:38;07:46;07:55;07:59;08:00
1;08:05;08:17;08:25;08:33;08:37;08:38
2;08:40;08:53;09:01;09:10;09:14;09:32
1;09:15;09:27;09:35;09:43;09:47;10:11
2;10:10;10:22;10:30;10:39;10:43;11:12
1;10:50;11:02;11:10;11:18;11:22;11:45
2;11:50;12:02;12:10;12:19;12:23;12:24
1;12:25;12:39;12:48;12:58;13:02;13:03
2;13:04;13:16;13:24;13:33;13:37;13:38
1;13:40;13:53;14:01;14:10;14:14;14:15
2;14:20;14:33;14:41;14:51;14:55;14:56
1;14:55;15:09;15:18;15:28;15:32;15:33
2;15:35;15:47;15:55;16:03;16:07;16:23
1;16:10;16:22;16:30;16:39;16:43;17:07
2;17:00;17:13;17:21;17:30;17:34;17:35
1;17:45;17:56;18:04;18:12;18:16;18:17
2;18:15;18:29;18:38;18:48;18:52;18:53
1;18:55;19:07;19:15;19:23;19:27;19:50
2;19:30;19:42;19:50;19:58;20:02;20:33
1;20:30;20:44;20:53;21:03;21:07;21:08
2;21:10;21:22;21:30;21:38;21:42;21:43
1;21:45;21:58;22:06;22:15;22:20;—
Вулиця Митрополита А. Шептицького - Станція метро «Осокорки»
№ випуску;Вулиця Митрополита А. Шептицького;Станція метро «Лівобережна»;Вулиця Березняківська;Ст. міської електрички «Березняки»;Станція метро «Осокорки»
1;06:20;06:24;06:33;06:40;06:53
2;06:50;06:54;07:03;07:10;07:23
1;07:30;07:34;07:43;07:50;08:03
2;08:04;08:08;08:18;08:25;08:38
1;08:40;08:44;08:53;09:00;09:13
2;09:35;09:39;09:48;09:55;10:08
1;10:15;10:19;10:28;10:35;10:48
2;11:14;11:18;11:27;11:34;11:47
1;11:50;11:54;12:03;12:10;12:23
2;12:30;12:34;12:43;12:50;13:02
1;13:05;13:09;13:18;13:25;13:38
2;13:41;13:45;13:55;14:03;14:16
1;14:20;14:24;14:33;14:40;14:53
2;15:00;15:04;15:13;15:20;15:33
1;15:35;15:39;15:48;15:55;16:08
2;16:25;16:29;16:38;16:45;16:58
1;17:10;17:14;17:23;17:30;17:43
2;17:40;17:44;17:53;18:00;18:13
1;18:20;18:24;18:33;18:40;18:53
2;18:55;18:59;19:08;19:15;19:28
1;19:51;19:55;20:04;20:11;20:25
2;20:35;20:39;20:48;20:55;21:08
1;21:10;21:14;21:23;21:30;21:43
2;21:45;21:49;21:58;22:05;22:18
