Автобус №105;Четвер 28 травня 2026. Діє з 04.03.2026.
Вулиця Тростянецька - Бориспільське шосе
№ випуску;Вулиця Тростянецька;Дарн лісництво;Бориспільське шосе
1;—;07:40;07:54
1;14:08;14:43;14:57
1;16:08;16:42;16:56
Бориспільське шосе - Вулиця Тростянецька
№ випуску;Бориспільське шосе;Вулиця Тростянецька
1;07:55;08:29
1;15:07;15:41
1;17:05;17:37
