Автобус №51;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Станція метро «Либідська» - Станція метро «Червоний хутір»
№ випуску;Станція метро «Либідська»;міст Патона;Бульвар Ігоря Шамо;вулиця Празька;Залізничний вокзал Дарниця;Рембаза;Станція метро «Червоний хутір»
1;—;—;—;05:37;05:50;06:00;06:09
2;—;—;—;06:02;06:15;06:25;06:34
3;—;—;—;06:27;06:40;06:50;06:59
4;06:35;06:46;06:51;06:57;07:10;07:21;07:28
5;—;—;—;07:18;07:32;07:43;07:52
1;07:09;07:22;07:28;07:35;07:49;08:00;08:09
2;07:35;07:48;07:54;08:01;08:15;08:26;08:35
3;08:01;08:13;08:19;08:26;08:39;08:50;08:59
4;08:27;08:40;08:46;08:53;09:07;09:18;09:27
5;08:52;09:05;09:11;09:18;09:32;09:43;09:52
1;09:11;09:23;09:29;09:36;09:50;10:01;10:10
2;09:42;09:55;10:01;—;—;—;—
3;10:11;10:23;10:29;10:36;10:49;11:00;11:09
5;10:51;11:04;11:10;—;—;—;—
4;11:13;11:26;11:32;11:39;11:53;12:04;12:13
1;11:53;12:06;12:12;12:19;12:33;12:44;12:53
3;12:35;12:48;12:54;13:01;13:15;13:26;13:35
4;13:16;13:29;13:35;13:42;13:56;14:07;14:16
1;13:58;14:11;14:17;14:24;14:38;14:49;14:58
3;14:38;14:51;14:57;15:04;15:18;15:29;15:38
4;15:19;15:32;15:38;15:45;15:59;16:10;16:19
5;—;—;—;16:11;16:25;16:36;16:45
1;16:00;16:13;16:19;16:26;16:40;16:51;17:00
2;16:20;16:33;16:39;16:46;17:00;17:11;17:20
3;16:41;16:54;17:00;17:07;17:21;17:32;17:41
4;17:21;17:34;17:40;17:47;18:01;18:12;18:21
5;17:48;18:01;18:07;18:14;18:28;18:39;18:48
2;18:22;18:35;18:41;18:48;19:02;19:13;19:22
1;18:56;19:09;19:15;19:22;19:36;19:47;19:56
3;19:23;19:36;19:42;19:49;20:03;20:13;20:22
5;19:50;20:03;20:09;—;—;—;—
4;20:17;20:29;20:35;20:41;20:54;21:04;21:13
1;20:52;21:04;21:10;21:16;21:29;21:39;21:48
3;21:33;21:45;21:51;21:57;22:10;22:20;22:29
4;22:15;22:27;22:33;22:39;22:52;23:02;23:11
Станція метро «Червоний хутір» - Станція метро «Либідська»
№ випуску;Станція метро «Червоний хутір»;Рембаза;Залізничний вокзал Дарниця;Бульвар Гашека;Дарницький універмаг;Бульвар Ігоря Шамо;Площа Наводницька;Станція метро «Либідська»
4;—;—;—;—;06:13;06:18;06:25;06:34
1;06:15;06:22;06:35;06:45;06:47;06:52;06:59;07:08
2;06:40;06:47;07:00;07:10;07:12;07:17;07:24;07:33
3;07:05;07:13;07:26;07:37;07:39;07:44;07:51;08:00
4;07:30;07:38;07:52;08:03;08:05;08:10;08:17;08:26
5;07:56;08:04;08:17;08:28;08:30;08:35;08:42;08:51
1;08:15;08:23;08:37;08:48;08:50;08:55;09:02;09:10
2;08:45;08:53;09:07;09:18;09:20;09:25;09:32;09:41
3;09:14;09:22;09:36;09:47;09:49;09:54;10:01;10:10
5;09:54;10:02;10:16;10:27;10:29;10:34;10:41;10:50
4;10:16;10:24;10:38;10:49;10:51;10:56;11:03;11:12
1;10:57;11:05;11:18;11:29;11:31;11:36;11:43;11:52
3;11:39;11:47;12:00;12:11;12:13;12:18;12:25;12:34
4;12:19;12:27;12:41;12:52;12:54;12:59;13:06;13:15
1;13:00;13:08;13:22;13:33;13:35;13:40;13:47;13:56
3;13:41;13:49;14:03;14:14;14:16;14:21;14:28;14:37
4;14:20;14:28;14:42;14:53;14:55;15:00;15:07;15:16
1;15:03;15:11;15:25;15:36;15:38;15:43;15:50;15:59
2;—;—;—;—;15:58;16:03;16:10;16:19
3;15:44;15:52;16:06;16:17;16:19;16:24;16:31;16:40
4;16:24;16:32;16:46;16:57;16:59;17:04;17:11;17:20
5;16:51;16:59;17:13;17:24;17:26;17:31;17:38;17:47
2;17:25;17:33;17:47;17:58;18:00;18:05;18:12;18:21
1;17:59;18:07;18:21;18:32;18:34;18:39;18:46;18:55
3;18:26;18:34;18:48;18:59;19:01;19:06;19:13;19:22
5;18:53;19:01;19:15;19:26;19:28;19:33;19:40;19:49
4;19:20;19:28;19:42;19:53;19:55;20:00;20:07;20:16
2;19:28;19:36;19:50;20:01;—;—;—;—
1;19:58;20:05;20:18;20:28;20:30;20:35;20:42;20:51
3;20:38;20:45;20:58;21:08;21:10;21:15;21:22;21:31
4;21:19;21:26;21:39;21:49;21:51;21:56;22:03;22:12
1;21:54;22:01;22:14;22:24;—;—;—;—
3;22:35;22:42;22:55;23:05;—;—;—;—
