Автобус №101;Четвер 28 травня 2026. Діє з 29.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Почайна» - Вулиця Радунська
№ випуску;Станція метро «Почайна»;проспект Володимира Івасюка;масив Райдужний;Вулиця Сержа Лифаря;Вулиця Милославська;Вулиця Радунська
1;—;—;—;05:40;05:50;05:59
2;—;—;—;05:52;06:02;06:12
3;—;—;—;06:05;06:15;06:25
4;—;—;—;06:19;06:29;06:39
5;—;—;—;06:33;06:43;06:53
6;—;—;—;06:47;06:57;07:07
7;—;—;—;07:01;07:11;07:21
1;06:50;06:56;07:03;07:15;07:25;07:35
2;07:04;07:10;07:17;07:29;07:39;07:49
3;07:18;07:24;07:31;07:43;07:53;08:03
4;07:33;07:39;07:46;07:58;08:08;08:18
5;07:47;07:53;08:00;08:12;08:22;08:32
6;08:01;08:07;08:14;08:26;08:36;08:46
7;08:16;08:22;08:29;08:41;08:51;09:01
1;08:30;08:36;08:43;08:55;09:05;09:15
2;08:44;08:50;08:57;09:09;09:19;09:29
3;08:58;09:04;09:11;09:23;09:33;09:43
4;09:20;09:26;09:33;09:45;09:55;10:05
6;09:43;09:49;09:56;10:08;10:18;10:28
5;10:10;10:16;10:23;10:35;10:45;10:55
7;10:37;10:43;10:50;11:02;11:12;11:22
1;11:02;11:08;11:15;11:27;11:37;11:47
3;11:27;11:33;11:40;11:52;12:02;12:12
5;11:52;11:58;12:05;12:17;12:27;12:37
7;12:17;12:23;12:30;12:42;12:52;13:02
1;12:42;12:48;12:55;13:07;13:17;13:27
3;13:07;13:13;13:20;13:32;13:42;13:52
5;13:32;13:38;13:45;13:57;14:07;14:17
7;13:57;14:03;14:10;14:22;14:32;14:42
1;14:22;14:28;14:35;14:47;14:57;15:07
3;14:47;14:53;15:00;15:12;15:22;15:32
5;15:12;15:18;15:25;15:37;15:47;15:57
6;—;—;—;15:53;16:03;16:13
7;15:37;15:43;15:50;16:02;16:12;16:22
1;16:02;16:08;16:15;16:27;16:37;16:47
2;—;—;—;16:42;16:52;17:02
3;16:27;16:33;16:40;16:52;17:02;17:12
4;—;—;—;17:04;17:14;17:24
5;16:52;16:58;17:05;17:17;17:27;17:37
6;17:09;17:15;17:22;17:34;17:44;17:54
7;17:31;17:37;17:44;17:56;18:06;18:16
2;17:54;18:00;18:07;18:19;18:29;18:39
1;18:08;18:14;18:21;18:33;18:43;18:53
4;18:22;18:28;18:35;18:47;18:57;19:07
3;18:36;18:42;18:49;19:01;19:11;19:21
6;18:50;18:56;19:03;19:15;19:25;19:35
7;19:05;19:11;19:18;19:30;19:40;19:50
5;19:20;19:26;19:33;19:45;19:55;20:05
2;19:39;19:45;19:52;20:04;20:14;20:24
1;19:59;20:05;20:12;20:23;20:33;20:43
4;20:17;20:23;20:30;20:42;20:52;21:02
3;20:35;20:41;20:48;20:59;21:09;21:18
5;20:59;21:05;21:12;21:23;21:33;21:43
7;21:21;21:27;21:34;21:46;21:56;22:06
1;21:45;21:51;21:58;22:10;22:20;22:30
3;22:10;22:16;22:23;22:35;22:45;22:55
5;22:35;22:41;22:48;23:00;23:10;23:20
7;23:00;23:06;23:13;23:25;23:35;23:45
Вулиця Радунська - Станція метро «Почайна»
№ випуску;Вулиця Радунська;Вулиця Милославська;Вулиця Сержа Лифаря;масив Райдужний;проспект Володимира Івасюка;Станція метро «Почайна»;Станція метро «Почайна»
1;06:00;06:07;06:17;06:30;06:37;06:44;06:45
2;06:14;06:21;06:31;06:44;06:51;06:58;06:59
3;06:28;06:35;06:45;06:58;07:05;07:12;07:13
4;06:43;06:50;07:00;07:13;07:20;07:27;07:28
5;06:57;07:04;07:14;07:27;07:34;07:41;07:42
6;07:11;07:18;07:28;07:41;07:48;07:55;07:56
7;07:26;07:33;07:43;07:56;08:03;08:10;08:11
1;07:40;07:47;07:57;08:10;08:17;08:24;08:25
2;07:54;08:01;08:11;08:24;08:31;08:38;08:39
3;08:08;08:15;08:25;08:38;08:45;08:52;08:53
4;08:23;08:30;08:40;08:53;09:00;09:07;09:15
5;08:37;08:44;08:54;09:07;09:14;09:21;10:07
6;08:51;08:58;09:08;09:21;09:28;09:35;09:38
7;09:06;09:13;09:23;09:36;09:43;09:50;10:36
1;09:20;09:27;09:37;09:50;09:57;10:04;10:59
2;09:34;09:41;09:51;10:04;10:11;10:18;—
3;09:48;09:55;10:05;10:18;10:25;10:32;11:23
4;10:10;10:17;10:27;10:40;10:47;10:54;—
6;10:30;10:37;10:47;11:00;11:07;11:14;—
5;11:00;11:07;11:17;11:30;11:37;11:44;11:47
7;11:27;11:34;11:44;11:57;12:04;12:11;12:12
1;11:52;11:59;12:09;12:22;12:29;12:36;12:37
3;12:17;12:24;12:34;12:47;12:54;13:01;13:02
5;12:42;12:49;12:59;13:12;13:19;13:26;13:27
7;13:07;13:14;13:24;13:37;13:44;13:51;13:52
1;13:32;13:39;13:49;14:02;14:09;14:16;14:17
3;13:57;14:04;14:14;14:27;14:34;14:41;14:42
5;14:22;14:29;14:39;14:52;14:59;15:06;15:07
7;14:47;14:54;15:04;15:17;15:24;15:31;15:32
1;15:12;15:19;15:29;15:42;15:49;15:56;15:57
3;15:37;15:44;15:54;16:07;16:14;16:21;16:22
5;16:02;16:09;16:19;16:32;16:39;16:46;16:47
6;16:15;16:22;16:32;16:45;16:52;16:59;17:04
7;16:27;16:34;16:44;16:57;17:04;17:11;17:28
1;16:51;16:58;17:08;17:21;17:28;17:35;18:06
2;17:04;17:11;17:21;17:34;17:41;17:48;17:49
3;17:17;17:24;17:34;17:47;17:54;18:01;18:32
4;17:29;17:36;17:46;17:59;18:06;18:13;18:17
5;17:45;17:52;18:02;18:15;18:22;18:29;19:17
6;18:02;18:09;18:19;18:32;18:39;18:46;18:47
7;18:19;18:26;18:36;18:48;18:55;19:02;19:03
2;18:41;18:48;18:58;19:11;19:18;19:25;19:34
1;18:58;19:05;19:15;19:28;19:35;19:42;19:58
4;19:12;19:19;19:29;19:42;19:49;19:56;20:15
3;19:30;19:37;19:47;20:00;20:07;20:14;20:30
7;19:52;19:59;20:09;20:22;20:29;20:36;21:15
5;20:14;20:21;20:30;20:42;20:49;20:56;20:57
1;20:45;20:52;21:02;21:15;21:22;21:29;21:40
3;21:20;21:27;21:37;21:50;21:57;22:04;22:05
5;21:45;21:52;22:02;22:15;22:22;22:29;22:30
7;22:10;22:17;22:27;22:40;22:47;22:54;22:55
