Автобус №108;Четвер 28 травня 2026. Діє з 27.04.2026.
Вулиця Митрополита А. Шептицького - Станція метро «Харківська»
№ випуску;Вулиця Митрополита А. Шептицького;Станція метро «Лівобережна»;Готель «Славутич»;Ст. міської електрички «Березняки»;Вулиця Здолбунівська;Станція метро «Харківська»
3;06:15;06:20;06:27;06:37;06:49;07:04
1;07:00;07:05;07:12;07:22;07:34;07:49
2;07:35;07:40;07:47;07:57;08:09;08:24
3;08:10;08:15;08:22;08:32;08:44;08:59
1;08:45;08:50;08:57;09:07;09:19;09:34
2;09:20;09:25;09:32;09:42;09:54;10:09
3;10:10;10:15;10:22;10:32;10:44;10:59
1;10:55;11:00;11:07;11:17;11:29;11:44
2;11:40;11:45;11:52;12:02;12:14;12:29
3;12:25;12:30;12:37;12:47;12:59;13:14
1;13:05;13:10;13:17;13:27;13:39;13:54
2;13:40;13:45;13:52;14:02;14:14;14:29
3;14:15;14:20;14:27;14:37;14:49;15:04
1;14:50;14:55;15:02;15:12;15:24;15:39
2;15:25;15:30;15:37;15:47;15:59;16:14
3;16:00;16:05;16:12;16:22;16:34;16:49
1;16:35;16:40;16:47;16:57;17:09;17:24
2;17:25;17:30;17:37;17:47;17:59;18:14
3;18:10;18:15;18:22;18:32;18:44;18:59
1;18:55;19:00;19:07;19:17;19:29;19:44
2;19:40;19:45;19:52;20:02;20:14;20:29
3;20:20;20:25;20:32;20:42;20:54;21:09
1;20:55;21:00;21:07;21:17;21:29;21:44
2;21:30;21:35;21:42;21:52;22:04;22:19
3;22:05;22:10;22:17;22:27;22:39;22:54
1;22:40;22:45;22:52;23:02;23:14;23:28
2;23:17;23:20;—;—;—;—
Станція метро «Харківська» - Вулиця Митрополита А. Шептицького
№ випуску;Станція метро «Харківська»;Завод Буревісник;Ст. міської електрички «Березняки»;Готель «Славутич»;Станція метро «Лівобережна»;Вулиця Митрополита А. Шептицького(вис);Вулиця Митрополита А. Шептицького
1;06:10;06:30;06:40;06:47;06:54;06:58;06:59
2;06:45;07:05;07:15;07:22;07:29;07:33;07:34
3;07:15;07:36;07:46;07:53;08:00;08:04;08:05
1;07:53;08:14;08:24;08:31;08:38;08:42;08:43
2;08:28;08:49;08:59;09:06;09:13;09:17;09:18
3;09:03;09:24;09:34;09:41;09:48;09:52;10:08
1;09:38;09:59;10:09;10:16;10:23;10:27;10:53
2;10:13;10:34;10:44;10:51;10:58;11:02;11:38
3;11:03;11:24;11:34;11:41;11:48;11:52;12:23
1;11:48;12:09;12:19;12:26;12:33;12:37;13:03
2;12:33;12:54;13:04;13:11;13:18;13:22;13:38
3;13:18;13:39;13:49;13:56;14:03;14:07;14:08
1;13:58;14:19;14:29;14:36;14:43;14:47;14:48
2;14:33;14:54;15:04;15:11;15:18;15:22;15:23
3;15:08;15:29;15:39;15:46;15:53;15:57;15:58
1;15:43;16:04;16:14;16:21;16:28;16:32;16:33
2;16:18;16:39;16:49;16:56;17:03;17:07;17:23
3;16:53;17:14;17:24;17:31;17:38;17:42;18:08
1;17:28;17:49;17:59;18:06;18:13;18:17;18:53
2;18:18;18:39;18:49;18:56;19:03;19:07;19:38
3;19:03;19:24;19:34;19:41;19:48;19:52;20:18
1;19:48;20:09;20:19;20:26;20:33;20:37;20:53
2;20:33;20:54;21:04;21:11;21:18;21:22;21:23
3;21:13;21:34;21:44;21:51;21:58;22:02;22:03
1;21:48;22:09;22:19;22:26;22:33;22:37;22:38
2;22:25;22:46;22:56;23:03;23:10;23:14;23:15
