Автобус №73;Четвер 28 травня 2026. Діє з 21.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Героїв Дніпра» - Вулиця Милославська
№ випуску;Станція метро «Героїв Дніпра»;Станція метро «Оболонь»;проспект Володимира Івасюка;Проспект Шухевича;Вулиця Бальзака;Вулиця Милославська;Вулиця Милославська
1;06:30;06:39;06:48;06:56;06:59;07:13;07:15
2;07:00;07:10;07:20;07:28;07:31;07:45;07:48
3;07:25;07:35;07:45;07:53;07:56;08:10;08:17
4;07:45;07:55;08:05;08:13;08:16;08:30;08:40
1;08:03;08:13;08:23;08:31;08:34;09:42;09:43
5;08:25;08:35;08:45;08:53;08:56;09:10;09:13
2;08:45;08:55;09:05;09:13;09:16;10:11;10:12
3;09:10;09:20;09:30;09:38;09:41;10:44;10:45
4;09:35;09:45;09:55;10:03;10:06;11:12;11:13
5;10:05;10:15;10:25;10:33;10:36;10:50;—
1;10:35;10:45;10:55;11:03;11:06;11:20;11:38
2;11:03;11:12;11:23;11:30;11:33;11:47;12:04
3;11:35;11:45;11:55;12:03;12:06;12:20;12:23
4;12:00;12:10;12:20;12:28;12:31;12:45;12:48
1;12:25;12:35;12:45;12:53;12:56;13:10;13:13
2;12:50;13:00;13:10;13:18;13:21;13:35;13:38
3;13:15;13:25;13:35;13:43;13:46;14:00;14:03
4;13:40;13:50;14:00;14:08;14:11;14:25;14:28
1;14:05;14:15;14:25;14:33;14:36;14:50;14:53
2;14:30;14:40;14:50;14:58;15:01;15:15;15:18
3;14:50;15:00;15:10;15:18;15:21;15:35;15:38
4;15:15;15:25;15:36;15:45;15:48;16:02;16:19
1;15:43;15:52;16:02;16:10;16:13;16:27;16:30
2;16:08;16:17;16:27;16:35;16:38;16:52;17:02
3;16:28;16:37;16:47;16:55;16:58;17:12;17:29
5;16:48;16:58;17:08;17:16;17:19;17:36;17:45
4;17:08;17:18;17:29;17:38;17:41;18:00;18:05
1;17:30;17:40;17:52;18:02;18:05;18:21;18:39
2;17:53;18:03;18:14;18:23;18:26;19:11;19:12
3;18:17;18:27;18:37;18:45;18:48;19:46;19:47
5;18:38;18:48;18:59;19:07;19:10;19:24;—
4;18:58;19:08;19:19;19:28;19:31;20:22;20:23
1;19:28;19:38;19:48;19:57;20:00;20:51;20:52
2;20:00;20:10;20:21;20:30;20:33;21:18;21:19
3;20:35;20:45;20:55;21:05;21:08;21:26;21:40
4;21:10;21:19;21:28;21:37;21:40;21:54;—
1;21:40;21:49;21:58;22:06;22:09;22:23;—
2;22:05;22:14;22:23;22:31;22:34;22:48;—
3;22:30;22:39;22:48;22:56;22:59;23:13;—
Вулиця Милославська - Станція метро «Героїв Дніпра»
№ випуску;Вулиця Милославська;Проспект Шухевича;Станція метро «Оболонь»;Станція метро «Героїв Дніпра»;Станція метро «Героїв Дніпра»
1;05:45;06:02;06:20;06:27;06:28
2;06:10;06:27;06:47;06:55;06:57
3;06:35;06:52;07:12;07:20;07:22
4;06:55;07:12;07:32;07:40;07:42
1;07:16;07:33;07:52;08:00;08:01
5;07:35;07:52;08:12;08:20;08:22
2;07:55;08:12;08:32;08:40;08:42
3;08:20;08:37;08:57;09:05;09:07
4;08:45;09:02;09:22;09:30;09:32
5;09:15;09:32;09:52;10:00;10:02
1;09:45;10:02;10:22;10:30;10:32
2;10:15;10:32;10:52;11:00;11:01
3;10:46;11:03;11:22;11:30;11:32
4;11:15;11:32;11:50;11:57;11:58
1;11:40;11:57;12:15;12:22;12:23
2;12:05;12:22;12:40;12:47;12:48
3;12:25;12:42;13:02;13:10;13:12
4;12:50;13:07;13:27;13:35;13:37
1;13:15;13:32;13:52;14:00;14:02
2;13:40;13:57;14:17;14:25;14:27
3;14:05;14:22;14:40;14:47;14:48
4;14:30;14:47;15:05;15:12;15:13
1;14:55;15:12;15:32;15:40;15:41
2;15:20;15:37;15:57;16:05;16:06
3;15:40;15:57;16:17;16:25;16:26
5;16:00;16:17;16:37;16:45;16:46
4;16:20;16:37;16:57;17:05;17:06
1;16:40;16:57;17:17;17:25;17:27
2;17:05;17:22;17:42;17:50;17:51
3;17:30;17:47;18:06;18:14;18:15
5;17:50;18:07;18:27;18:35;18:36
4;18:10;18:27;18:47;18:55;18:56
1;18:40;18:57;19:17;19:25;19:26
2;19:15;19:32;19:50;19:57;19:58
3;19:50;20:07;20:25;20:32;20:33
4;20:25;20:42;21:00;21:07;21:08
1;20:55;21:12;21:30;21:37;21:38
2;21:20;21:37;21:55;22:02;22:03
3;21:45;22:02;22:20;22:27;22:28
