Автобус №39;Четвер 28 травня 2026. Діє з 01.04.2026.
Провулок Лисогірський - Станція метро «Голосіївська»
№ випуску;Провулок Лисогірський;Вулиця Ракетна;Станція метро «Голосіївська»
1;06:20;06:24;06:38
1;07:04;07:08;07:22
1;07:48;07:52;08:06
1;08:32;08:36;08:50
1;09:16;09:20;09:34
1;10:17;10:21;10:35
1;11:23;11:27;11:41
1;12:07;12:11;12:25
1;12:51;12:55;13:09
1;13:35;13:39;13:53
1;14:19;14:23;14:37
1;15:03;15:07;15:21
1;15:47;15:51;16:05
1;16:31;16:35;16:49
1;17:15;17:19;17:33
1;18:16;18:20;18:34
1;19:22;19:26;19:40
1;20:06;20:10;20:24
1;20:50;20:54;21:08
1;21:35;21:39;21:53
Станція метро «Голосіївська» - Провулок Лисогірський
№ випуску;Станція метро «Голосіївська»;Проспект Науки;Вулиця Ракетна;Провулок Лисогірський
1;06:40;06:44;06:58;07:02
1;07:23;07:27;07:41;07:45
1;08:07;08:11;08:25;08:29
1;08:51;08:55;09:09;09:13
1;09:35;09:39;09:53;09:57
1;10:36;10:40;10:54;10:58
1;11:42;11:46;12:00;12:04
1;12:26;12:30;12:44;12:48
1;13:10;13:14;13:28;13:32
1;13:54;13:58;14:12;14:16
1;14:38;14:42;14:56;15:00
1;15:22;15:26;15:40;15:44
1;16:06;16:10;16:24;16:28
1;16:50;16:54;17:08;17:12
1;17:34;17:38;17:52;17:56
1;18:35;18:39;18:53;18:57
1;19:41;19:45;19:59;20:03
1;20:25;20:29;20:43;20:47
1;21:10;21:14;21:28;21:32
